id,author,book_title,original_title,date,duration,url
w3csvtz0,Alan Hollinghurst,The Line of Beauty,Alan Hollinghurst: The Line of Beauty,4 Nov 2017,49 mins,https://www.bbc.com/audio/play/w3csvtz0
w3ct5r3n,Percival Everett,The Trees,Percival Everett: The Trees,4 May 2024,49 mins,https://www.bbc.com/audio/play/w3ct5r3n
w3ct3c7v,Marie Darrieussecq,Pig Tales,Marie Darrieussecq: Pig Tales,4 Mar 2023,49 mins,https://www.bbc.com/audio/play/w3ct3c7v
p04v1ghx,Joël Dicker,The Truth About the Harry Quebert Affair,Joël Dicker - The Truth About the Harry Quebert Affair,4 Mar 2017,48 mins,https://www.bbc.com/audio/play/p04v1ghx
w3ct3c7k,Jennifer Egan,A Visit from the Goon Squad,Jennifer Egan: A Visit from the Goon Squad,4 Jun 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7k
p03wlptl,Tan Twan Eng,The Garden of Evening Mists,Tan Twan Eng - The Garden of Evening Mists,4 Jun 2016,49 mins,https://www.bbc.com/audio/play/p03wlptl
w3cszmx0,Bernardine Evaristo,"Girl, Woman, Other","Bernardine Evaristo: Girl, Woman, Other",4 Jul 2020,49 mins,https://www.bbc.com/audio/play/w3cszmx0
w3ct5r3y,Anne Holt,"1,222","Anne Holt: 1,222",4 Jan 2025,49 mins,https://www.bbc.com/audio/play/w3ct5r3y
w3ct3c7t,Ayelet Gundar-Goshen,Waking Lions,Ayelet Gundar-Goshen: Waking Lions,4 Feb 2023,49 mins,https://www.bbc.com/audio/play/w3ct3c7t
p04r4clg,Laura Restrepo,Delirium,Laura Restrepo - Delirium,4 Feb 2017,49 mins,https://www.bbc.com/audio/play/p04r4clg
w3ct1x9v,Monique Roffey,The Mermaid of Black Conch,Monique Roffey: The Mermaid of Black Conch,4 Dec 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9v
p0jftw8r,Women of the World,Edna O’Brien,Women of the World:  Edna O’Brien,4 Aug 2024,26 mins,https://www.bbc.com/audio/play/p0jftw8r
w3csyx69,Chigozie Obioma,The Fishermen,Chigozie Obioma - The Fishermen,4 Aug 2019,49 mins,https://www.bbc.com/audio/play/w3csyx69
w3cswssk,Hilary Mantel,Bring Up the Bodies,Hilary Mantel: Bring Up the Bodies,4 Aug 2018,49 mins,https://www.bbc.com/audio/play/w3cswssk
w3cszmwx,Fatima Bhutto,The Shadow of the Crescent Moon,Fatima Bhutto - The Shadow of the Crescent Moon,4 Apr 2020,49 mins,https://www.bbc.com/audio/play/w3cszmwx
w3ct3c7n,Ben Lerner,Leaving the Atocha Station,Ben Lerner: Leaving the Atocha Station,3 Sep 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7n
p0462ry6,DBC Pierre,Vernon God Little,DBC Pierre - Vernon God Little,3 Sep 2016,49 mins,https://www.bbc.com/audio/play/p0462ry6
w3cszmx3,Ali Smith,How to Be Both,Ali Smith: How to Be Both,3 Oct 2020,49 mins,https://www.bbc.com/audio/play/w3cszmx3
p0338wlh,Deborah Moggach,Tulip Fever,Deborah Moggach - Tulip Fever,3 Oct 2015,49 mins,https://www.bbc.com/audio/play/p0338wlh
